"nome_oficial";"rpa";"distrito_sanitario";"microregiao";"cnes";"cod_nat";"tipo_servico";"endereço";"bairro";"fone";"servico";"especialidade";"como_usar";"horario";"ordem";"latitude";"longitude"
"us 167 maternidade professor barros lima";"3";"3";"3.2";"9999999";"proprio";"maternidade";"av norte, 6465 - casa amarela";"casa amarela";"3355-2172";"mat";"colposcopia, ginecologia, pediatria, ultrassonografia, climatério, pré-natal (baixo risco e alto risco), citologia, psicologia, planejamento familiar, nutricionista, serviço social, fonoaudiologia (teste da orelhinha)";"as usuárias são encaminhadas pelas  unidade de saúde onde realizam suas consulta. os atendimentos de urgências e emergências por demanda espontânea.";"2ª a 6ª feira – 8h às 17h (serviço de pronto atendimento - spa/maternidade e serviço odontológico de urgência - sou 24h)";"8.08.0.0.0.00.001";"-8.02137332259";"-34.9231432677"
"us 165 maternidade bandeira filho";"5";"5";"5.1";"0000701";"proprio";"maternidade";"rua londrina, s/n  - afogados";"afogados";"3355-2233";"mat";"ultrassonografia- ginecologia- pré-natal de baixo risco- colposcopia- pediatria- mastologia- planejamento familiar-  vídeo histeroscopia diagnóstica, pré natal de risco habitual, fonoaudiologia (teste da orelhinha)";"as usuárias são encaminhadas pelas  unidade de saúde onde realizam suas consulta. os atendimentos de urgências e emergências por demanda espontânea.";"2ª a 6ª feira – 8h às 17h (serviço de pronto atendimento - spa/maternidade  24h)";"8.08.0.0.0.00.002";"-8.07899676307";"-34.9109123014"
"us 153 maternidade arnaldo marques";"6";"8";"8.3";"9999999";"proprio";"maternidade";"av dois rios, s/n - cohab";"cohab";"3355-1815";"mat";"ultrassonografia, pré natal de alto risco, endocrinologia, mastologia, nutricionista, fonoaudiologia (teste da orelhinha), pediatria, odontologia 24h";"as usuárias são encaminhadas pelas  unidade de saúde onde realizam suas consulta. os atendimentos de urgências e emergências por demanda espontânea.";"2ª a 6ª feira – 8h às 17h (serviço de pronto atendimento - spa/maternidade e serviço odontológico de urgência - sou 24h)";"8.08.0.0.0.00.003";"-8.11987714224";"-34.9443287273"
